Timestamp,Connected,Signal,Latency,Download,Upload
2026-02-01T09:33:14.647Z,true,95,14,0,5
2026-02-01T09:33:22.586Z,true,100,14,0,5
2026-02-01T09:33:30.647Z,true,100,14,0,5
2026-02-01T09:33:38.657Z,true,95,14,0,5
2026-02-01T09:33:46.657Z,true,100,15,0,5
2026-02-01T09:33:51.131Z,true,100,13,0,5
2026-02-01T09:33:54.622Z,true,100,14,0,5
2026-02-01T09:34:02.603Z,true,100,15,0,5
2026-02-01T09:34:10.632Z,true,100,14,0,5
2026-03-11T02:41:34.398Z,false,0,0,0,0
2026-03-11T02:41:42.313Z,false,0,0,0,0
2026-03-11T02:41:50.305Z,false,0,0,0,0
2026-03-11T02:41:58.299Z,false,0,0,0,0
2026-03-11T02:42:06.308Z,false,0,0,0,0
2026-03-11T02:42:14.308Z,false,0,0,0,0
